Name,Label
RNO,RNO - R number (YNIC identifier)
SIDNO,SIDNO - scanned order (Cohort 1)
IDNO,IDNO - behavioural testing order
INDEX,INDEX - Indicates what project this participant was tested from (1=CS1; 2=CS2)
AGE,Age
GENDER,Gender(0=male;1=female)
EDUCATION,Level of education(1=Alevel;2=UG;3=PG)
HANDEDNESS,Handedness(1=Right;2=left)
MARTIAL,Marital Status(1=single;2=married;3=Living as Married;4=Divorced/separated;5=Widowed)
ILL,Do you consider yourself ill?(1=Yes; 2=No)
QD_EMI1,Time orientation of mental imagery (1 = always past 7 = always future) Evaluation of Mental Imagery
QD_EMI2,Emotional valence of mental imagery (1 = always negative 7 = always positive)  Evaluation of Mental Imagery
QD_EMI3,Vividness of mental imagery (1 = not vivid 7 = extrememly vivid)  Evaluation of Mental Imagery
QD_EMI4,Visual perspective of mental imagery (1 = 3rd person perspective 2 = 1st person perspective)  Evaluation of Mental Imagery
QD_ADHD,Average ADHD score across all 18 items
QD_ADHD_A,Average ADHD score for Part A (Q1-6)
QD_ADHD_B,Average ADHD score for Part A (Q7-18)
QD_AQ_SOCIAL,AQ (Autism Spectrum Quotient) score for social skill dimension (SUMMED) Range 1 - 10
QD_AQ_SWITCH,AQ (Autism Spectrum Quotient) score for attention switching dimension (SUMMED) Range 1 - 10
QD_AQ_DETAIL,AQ (Autism Spectrum Quotient) score for attention to detail dimension (SUMMED) Range 1 - 10
QD_AQ_COMM,AQ (Autism Spectrum Quotient) score for communication dimension (SUMMED) Range 1 - 10
QD_AQ_IM,AQ (Autism Spectrum Quotient) score for imagination dimension (SUMMED) Range 1 - 10
QD_AQ,Total AQ (Autism Spectrum Quotient) score (SUMMED) cut-off = 32+
QD_BFI_E,Extraversion score BFI (Big Five Inventory) (MEAN)
QD_BFI_A,Agreeableness score BFI (Big Five Inventory) (MEAN)
QD_BFI_C,Conscientiousness score BFI (Big Five Inventory) (MEAN)
QD_BFI_N,Neuroticism score BFI (Big Five Inventory) (MEAN)
QD_BFI_O,Openness to experience score BFI (Big Five Inventory) (MEAN)
QD_BMS_AS,Alternative search subscale score of the brief maximization scale (MEAN)
QD_BMS_DD,Decision difficulty subscale score of the brief maximization scale (MEAN)
QD_BMS_HS,High standards subscale score of the brief maximization scale
