RIDNO,AGE,GENDER,FC1,FC2,task1,task2,SCCA_mean_1,SCCA_mean_2,meanCT_task2,meanCT_fc2,MWQ_Deliberate,MWQ_Detailed,MWQ_Emotion,MWQ_Evolving,MWQ_Focus,MWQ_Future,MWQ_Habit,MWQ_Images,MWQ_Other,MWQ_Past,MWQ_Self,MWQ_Vivid,MWQ_Words,MWQ_Deliberate_0,MWQ_Detailed_0,MWQ_Emotion_0,MWQ_Evolving_0,MWQ_Focus_0,MWQ_Future_0,MWQ_Habit_0,MWQ_Images_0,MWQ_Other_0,MWQ_Past_0,MWQ_Self_0,MWQ_Vivid_0,MWQ_Words_0,MWQ_Deliberate_1,MWQ_Detailed_1,MWQ_Emotion_1,MWQ_Evolving_1,MWQ_Focus_1,MWQ_Future_1,MWQ_Habit_1,MWQ_Images_1,MWQ_Other_1,MWQ_Past_1,MWQ_Self_1,MWQ_Vivid_1,MWQ_Words_1,MWQ_Deliberate_diff,MWQ_Detailed_diff,MWQ_Emotion_diff,MWQ_Evolving_diff,MWQ_Focus_diff,MWQ_Future_diff,MWQ_Habit_diff,MWQ_Images_diff,MWQ_Other_diff,MWQ_Past_diff,MWQ_Self_diff,MWQ_Vivid_diff,MWQ_Words_diff,RS_Future,RS_Past,RS_Self,RS_Other,RS_Pos,RS_Neg,RS_Words,RS_Images,RS_Evolving,RS_Habit,RS_Detailed,RS_Vivid,RS_Deliberate,RS_Spontaneous,RS_Abstract,RS_Creative,RS_Decoupling,RS_Important,RS_Intrusive,RS_Problem,RS_Realistic,RS_Stop,RS_Thematic,RS_HereNow,RS_TemporalDistance,MWQ_FAC1_Probes_PCA,MWQ_FAC2_Probes_PCA,MWQ_FAC3_Probes_PCA,MWQ_FAC4_Probes_PCA,MWQ_FAC1_Probes_0B_PCA,MWQ_FAC2_Probes_0B_PCA,MWQ_FAC3_Probes_0B_PCA,MWQ_FAC4_Probes_0B_PCA,MWQ_FAC1_Probes_1B_PCA,MWQ_FAC2_Probes_1B_PCA,MWQ_FAC3_Probes_1B_PCA,MWQ_FAC4_Probes_1B_PCA,parameter_estimates_MDES,SCCA2_GP,CTCCA2_Task_GP,mean_cope_up
R4064,-1.180909408,1,-.083037792,.095562893,.520705301,.879319504,.418664335763849,.911148906791246,2.302258205,1.586874196,-1.22270619036039,-1.05975830591006,1.21800068183142,.781052451237624,-.965156457840726,-.012220385539567,.183767689359605,1.11853842313489,1.43269592179344,.65954173820656,.858354885980352,.99252042194013,-1.68560293448473,-1.28054892444316,-1.15837289198335,1.15489340968844,.75005745894546,-1.55075032343114,.0861292620344067,.125060249835464,1.09121334201786,1.5749740062348,.696031540338057,1.07404772317028,1.21807497373323,-1.81940558844445,-.941107497179171,-.815313459602225,1.15187756346744,.756755597982991,-.171431375331187,-.10960309204976,.22202012144429,1.07210901896932,1.11727089996386,.552422180642924,.574371165055004,.718843636692676,-1.32519111632159,.339441427263991,.343059432381125,-.00301584622099926,.00669813903753047,1.37931894809995,-.195732354084167,.0969598716088262,-.0191043230485421,-.457703106270938,-.143609359695133,-.499676558115272,-.499231337040549,.494214472122863,3,3,3,3,4,1,1,4,2,3,2,3,2,3,2,2,4,3,1,2,4,2,2,2,2,.00623887874759761,.73793444164028,1.03830407724408,.27825727744734,-.0442341559185684,.996732433248078,1.13062706848286,.165451902682551,.0567119134137637,.479136450032482,.945981086005306,.391062652212129,1.53399364904791,2,1, 
R4068,-1.180909408,0,-.556025821,.155295607,-1.353258425,-.18804276,-1.82172296214315,-.0168857324421478,2.04483788,1.438777564,.905029947600545,1.35692130277489,.955860622344493,-1.73920381359295,.504547165507501,1.69792702381784,1.3106214926857,2.23175969370538,1.42883133365639,-.983978903217668,2.14958032832079,1.60243791584307,-.331240390039758,.883446041569037,1.01694894142963,.895734666562049,-2.02834501842197,.110204617040642,1.89872599753266,1.82881055192311,2.15623298225796,1.12794578799088,-1.31800008026152,2.3244054969788,1.6016760483033,.0810195234413426,.760992835651851,1.51017166760648,.914569359451764,-1.326941826692,.790086612987907,1.36277914946352,.64654839650677,2.16012803841349,1.55703699261067,-.544584274792818,1.80373412549734,1.52550577348874,-.698968992853518,-.122453205917186,.493222726176848,.0188346928897151,.701403191729972,.679881995947265,-.535946848069138,-1.18226215541634,.00389505615552777,.429091204619788,.773415805468705,-.52067137148146,-.0761702748145556,-.77998851629486,3,4,4,4,3,2,1,3,2,3,3,3,2,2,1,1,3,4,1,1,4,4,2,3,1,.366780214093595,.602741602864548,1.82439443443681,2.15333703470936,.31123646072685,.637003480470366,1.81714709332466,2.29332777390182,.450095844143713,.55134878645582,1.83526544610504,1.94335092592066,-1.8560288843353,2,1, 
R4076,-1.180909408,1,-.913665763,-.641064629,-1.973429773,-2.129873375,-2.7562391469915,-2.53651854557607,2.661405689,1.500871135,-1.15573719555154,.912921663877172,-.369644621158353,-1.13665784746303,-.574274530542917,.607001791967244,-1.30483839487005,.80887980253524,1.57705261634372,.546706575624417,.512793735413507,.981764383929985,-.446221171574764,-1.13475478587711,.769121603082966,-.113585538056072,-1.06636261123197,-.670597362680045,.54059532167358,-1.17229477643437,.67360767848589,1.39789602386432,.750973646737473,.473262809891488,1.00645516663006,-.72381137763423,-.965219011955767,.931097227958763,-.586484252700668,-1.12648741196885,-.354112235988511,.625379093578714,-1.29214168750435,.890815794130353,1.56561619709864,.283893169241519,.511526690378881,.909472872986658,-.108641863294534,.16953577392134,.161975624875796,-.472898714644596,-.0601248007368804,.316485126691534,.0847837719051346,-.119846911069979,.217208115644463,.167720173234321,-.467080477495954,.0382638804873928,-.0969822936433996,.615169514339696,3,4,3,4,3,2,2,3,2,4,4,3,3,3,2,2,3,4,3,3,3,2,2,3,2,-.00181347341405982,.504771078400286,.661167177818959,-.247851553383949,-.0518942960535657,.517190589833931,.781609932000126,-.232030151038667,.0414381461382407,.494045136707593,.557148435571587,-.261515491773057,-.79459785701391,1,1, 
R4079,-1.180909408,1,.743986916,-.508247608,.174638125,.468185884,.882798178586918,-.022055707744944,3.381545544,1.423764858,.337856718625135,.361861339911789,1.07548455964271,.589956400677566,.265269730299256,.339753094516788,.596752581765001,-.100749588067143,-.571244048247572,.443072873374363,.976763781671176,1.07411479670576,-.580439086612268,.422622517545402,.336998738453643,.913667793583583,.552015814735831,.245066880337346,.332766420265315,.436421698005667,.0879581636725639,-.374462839173738,.257416794424955,.895078603008727,.936069975978632,-.920014245885587,.191262939516478,.336929254153172,1.12319195638862,.586133110026991,.228268474822642,.319856720146675,.690659500886948,-.282814086560798,-.698988167209848,.58128066077191,.980737441542774,1.16008129051764,-.162830830933356,-.231359578028923,-6.94843004713785E-005,.209524162805041,.0341172952911597,-.0167984055147034,-.0129097001186394,.254237802881281,-.370772250233362,-.32452532803611,.323863866346955,.0856588385340467,.224011314539011,.757183414952231,1,4,3,4,3,2,2,3,4,3,2,3,2,3,1,2,4,3,2,2,4,4,2,1,2,.456756715290825,.133100198363915,.166432838808468,.282226750099308,.362795556744996,.129183709068515,.351193174958425,.217452226840207,.540827225568673,.13660442562822,.00112095909534822,.34018290248903,.327651620316912,1,2, 
R4080,-1.180909408,1,-1.02779627,1.042466393,-1.456235363,.569014648,-2.37281832313567,1.49513772116536,1.39998216,1.525340936,-3.23873969047254,1.10517987080307,-.262275096196011,.890019796925926,.208897028190925,2.40980101081391,.392896632707267,1.93955509371598,2.81329873592502,-2.35423421485789,2.13626028196222,1.64458738496959,-2.09919201866489,-3.01566870144731,1.10349549790521,-.248361346553974,.799105122220275,.0469694881408209,2.32589746823649,.456151904437695,1.88054956325003,2.68663225019364,-2.3719322658006,2.04400810068816,1.5667512809481,-1.99167384106608,-2.86911939239608,.954783653941553,-.248361346553974,.917928668286046,.325776957219042,2.30302844539534,.285908408938478,1.87066972239839,2.59996700383932,-2.08442325400667,2.05855117458181,1.6426858671486,-1.92449892389335,.146549309051227,-.14871184396366,0,.118823546065771,.278807469078221,-.0228690228411574,-.170243495499218,-.00987984085164184,-.0866652463543218,.28750901179393,.0145430738936581,.0759345862005021,.0671749171727292,4,1,4,4,3,1,2,3,4,2,3,4,1,4,1,1,3,3,1,3,3,3,2,2,2,.15600784134141,1.34210396455546,1.74664446036905,2.68284530764309,.125682759969975,1.3601249972641,1.74129433832372,2.75837659641275,.180717166903319,1.3274201601262,1.75100381907266,2.62130129457151,1.15367068757001,2,1, 
R4085,-1.180909408,0,-.879581618,1.034030055,-.789547642,1.201453275,-1.59502697276321,2.06978129306606,2.796184123,1.604025345,.118786474836592,-.125750059927228,-1.02548932294495,.150916773689267,-.0898882668182307,-.066772334593385,-.0576504300001306,-.495217428492496,.316327016905033,.942466141055745,-.618564963598571,-.601272286890928,-.282618247242367,-.0489275096962019,-.0859985213804849,-1.19929017761623,.143191657545182,-.112233909453537,-.134789240553237,.0260334042194733,-.592378311493004,.418928020650315,.786705226423806,-.586875289799256,-.524020988082666,-.469047004841227,.264762463917547,-.148197498226368,-.742883614843181,.1479582706628,-.0481586639890646,.00652794904990968,-.134917249462408,-.36540276642996,.175496648954055,.997299170173043,-.601041487100886,-.64937097108312,-.0581948448277028,.313689973613749,-.0621989768458834,.456406562773053,.00476661311761734,.0640752454644729,.141317189603147,-.160950653681882,.226975545063044,-.24343137169626,.210593943749237,-.0141661973016298,-.125349983000453,.410852160013524,2,1,2,3,3,1,3,3,2,4,3,2,3,2,2,4,4,4,1,3,2,1,3,2,2,-.0122442263393,-.0918070712868577,-.148724950832305,-.580034422595999,-.0538528778397497,-.13181591813451,-.122624030586174,-.624133330407137,.0165617631610113,-.0641086388538678,-.166794818695012,-.54950440949598,-.605942280391342,2,2,6.473
R4086,-1.180909408,0,-.516751828,.028507628,-.80082211,-.502627796,-1.25742882310756,-.423032780257482,2.005315828,1.887370438,-.628641035852533,1.47037014379738,2.34493865977678,1.50437043439566,-1.99155831727123,1.76174033947529,1.60276527443931,1.17590333153251,2.20801052320878,2.14115399208592,1.45301270338913,1.89867728186253,.680720493197704,-.786729073710231,1.3636601598244,2.17040598185378,1.20102227367222,-1.96000093798857,1.70097875156821,1.29764520876371,1.09959080406666,2.00606629756722,2.3497078318477,1.46609087142822,1.78312771280762,.701081289846641,-.355511315033889,1.37474676598845,2.27067234830825,1.70122201147485,-1.59364599475403,1.68310378217317,1.72948305554244,1.17467883106489,2.14310799232716,1.70330581954271,1.3243325585757,1.92216971094074,.568844963829807,.431217758676342,.0110866061640442,.100266366454469,.500199737802626,.36635494323454,-.0178749693950402,.431837846778728,.0750880269982364,.137041694759946,-.646402012304983,-.141758312852523,.139041998133124,-.132236326016834,4,3,4,4,4,1,1,4,3,4,4,4,4,3,2,4,4,4,2,4,4,3,4,4,1,1.38163311458767,1.3677366811813,.0857932907045766,.278225476713216,1.27532005871015,1.42159569212822,.0372831647772906,.29747665466333,1.48794617046519,1.31387767023438,.134303416631863,.258974298763101,-1.26538859596122,1,1, 
R4087,-1.180909408,1,.889292502,.103546287,-.280234624,2.343548542,.588713532774965,2.26684320877716,1.755338323,1.4664253,.94668889484944,-.838651833384152,-.268019856967968,.202309959004801,1.48508368466369,-1.10424700959418,-1.29348653357796,1.25983926910823,-1.30775400264748,-2.20936534086472,-1.84600322860953,-1.95986745127942,1.0865798081524,.780789090513172,-.510995384972613,-.114679659010668,.225067404403934,1.16975648775724,-.979028938389796,-1.1888211731553,1.30399469542842,-1.111517650528,-2.39667542420705,-1.43207982078117,-1.81508036339234,1.03281894301459,.939344069114395,-1.05090384058816,-.392923034079341,.165230695668668,1.4801599295045,-1.14209125984374,-1.25417513312729,1.13261222458519,-1.34594313974302,-1.78545623027987,-2.11305825609867,-2.00963060117466,.994263007472079,.158554978601223,-.539908455615548,-.278243375068673,-.0598367087352653,.310403441747265,-.163062321453941,-.0653539599719954,-.171382470843235,-.234425489215017,.611219193927181,-.680978435317508,-.194550237782326,-.038555935542507,3,1,2,4,4,1,4,2,2,4,2,1,3,3,2,1,3,3,1,3,3,3,1,2,2,-.578382877665792,-1.08766918928321,.041139916340678,.497197576077059,-.516840594251688,-1.00550406945907,.0229749913540371,.598972201417813,-.697364625599726,-1.24652175427655,.0762587713148505,.300433300418267,1.8089530566143,2,1,5.406
R4088,-1.180909408,0,-.041252182,1.481616528,1.081915831,1.977521114,.993733496846887,3.19554906464156,1.777373195,1.504923386,-1.22024643372755,-1.36465698889337,-.848601594112197,-2.68816573743711,-1.76327226824252,-1.55248366677475,.440204345629157,-.214488425670228,-.74274192341168,-1.61290322743581,-.597097912714198,-.98548898382142,-1.38129666644223,-1.20622627822384,-1.37898554597886,.0870033036197716,-2.5863360117484,-2.05466650257078,-1.10118175863166,.732374794486094,-.596273367648532,-.743448675625037,-1.74199774984894,-.634696809133351,-1.01671732264264,-1.40935032501385,-1.01096076705767,-1.16254195001161,-1.69416950169482,-2.59969627832326,-1.09163708959098,-1.88094491629932,.0990351680179784,.181439511405237,-.652271888318601,-1.31108429064481,-.511993788793185,-.906479329978538,-1.16754418361274,.195265511166164,.216443595967252,-1.78117280531459,-.0133602665748578,.963029412979799,-.779763157667656,-.633339626468116,.777712879053769,.0911767873064362,.430913459204124,.122703020340165,.110237992664104,.241806141401112,3,1,4,4,3,2,2,2,2,1,3,1,3,4,3,2,4,2,3,1,1,1,2,4,2,-1.35390652614668,-.0566279639156502,.338472690648573,-.0935554357635804,-1.40931288921124,.173485247444759,.148580188430766,.279475899925334,-1.2957298449289,-.29824683584408,.537859817977271,-.48523833823694,-.910186634921221,2,1,4.329
R4091,-1.180909408,0,.727546124,.622609008,-.0298207,1.46028892,.672121455916741,1.93024113629648,3.035169482,1.619023461,-.298728297953111,.318814869155859,.441464831562421,.283479207667095,-.508842506100919,.298773062816844,-.0033738627036457,.127751033401897,.642081733474798,.616105432815368,.368293097011986,.294420983207505,-.115152295521942,-.499486879778506,.069067275837359,.321958765023296,.20995697891927,-.532949759651468,.124807990093318,.0677486978186196,.27492085913791,.60841274063911,.553873642661245,.334397115769418,.161832878812956,-.171873874765666,-.0433022601637901,.52469127498155,.51413129166379,.336933528630721,-.375005882607698,.449097642181662,-.0741208817640625,-.0278424740941677,.598152623312528,.612359023987741,.372887606940762,.412734121591704,-.0429498667195945,.456184619614716,.455623999144191,.192172526640494,.126976549711451,.15794387704377,.324289652088343,-.141869579582682,-.302763333232078,-.0102601173265819,.0584853813264962,.0384904911713438,.250901242778748,.128924008046072,3,3,3,3,3,2,2,3,4,2,4,3,3,2,2,3,2,3,2,1,3,2,3,2,1,.209397188595811,.354077526924666,.0843504731636111,.048208301523616,.0678790984811893,.364363523036712,.152029489864322,-.0200499261737754,.350915278710432,.34379153081262,.0166714564629001,.116466529221007,-.274574972861468,2,2, 
