,weight,word,color
0,7,motion perception,#dc6e57
1,12,object~recognition,#7f0823
2,4,cued~attention,#f8bfa4
3,13,multisensory~processing,#67001f
4,6,facial~recognition,#ef9979
5,7,inhibition~error,#68abd0
6,9,motion~and~visuospatial~memory,#c43b3c
7,4,episodic~memory,#f7b799
8,3,eye~movement,#fcd5bf
9,1,social~cognition,#eff3f5
10,10,reading,#ba2832
11,1,working~memory,#e3edf3
12,1,face/affective~processing,#f9eee7
13,0,feedback~based~learning,#f6f7f7
14,3,reward~based~decision~making,#c2ddec
15,2,auditory~processing,#fbe4d6
16,8,sentences~comprehension,#d35a4a
17,2,emotion~regulation,#d5e7f1
18,6,visual~attention,#ea8e70
19,1,numerical~cognition,#f9eee7
20,8,verbal~semantics,#d25849
21,1,resolve~conflicts,#ecf2f5
22,7,pain,#6bacd1
23,0,sesnorimotor,#f6f7f7
